New Strategy:
n = 80, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -1957390.266499 --> -1957390.266499, len_BS = 1
Blocksize strategy selection process: -1670675.371206 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1426056.785219 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1217170.632644 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1038881.736216 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -886708.266613 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -756824.884556 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -646011.355913 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -551384.810845 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -470618.986567 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -401683.590409 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -342845.723206 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -292646.601660 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -249780.270306 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -213192.919652 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -181964.816253 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -155310.947511 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -132570.476787 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -113151.799265 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -96577.533604 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -82431.035632 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -70356.690442 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -60055.135497 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -51258.370652 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -43750.139602 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -37341.700310 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -31871.957317 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -27205.297793 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -23220.316238 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -19819.047389 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -16915.990092 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -14438.167242 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -12324.145502 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -10518.927530 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -8978.134538 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -7663.034045 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -6540.567033 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -5582.903871 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -4765.130468 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -4067.142996 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -3471.395435 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -2962.911871 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -2529.085333 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -2158.629605 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1842.437545 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1572.560711 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1342.214935 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -1145.689191 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -977.870764 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -834.634068 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -712.378418 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -608.030549 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -519.003335 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -442.980690 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -378.093700 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -322.711236 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -275.441093 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -235.111289 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -200.672623 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -171.278470 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -146.189917 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -124.776289 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -106.506672 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -90.052848 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -86.151261 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -82.418711 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -78.847877 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -75.426522 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -72.158628 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -69.032317 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -66.041455 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -63.175795 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -60.438670 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -57.820132 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -55.315044 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -52.914822 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -50.622260 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -48.429023 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -46.330810 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -44.320431 --> -42.400225, len_BS = 81
Blocksize strategy selection process: -42.400225 --> -42.400225, len_BS = 81
len(BS) = 81
Time cost for generating Strategy: 126.113126 s
