New Strategy:
n = 90, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -226494378.076095 --> -226494378.076095, len_BS = 1
Blocksize strategy selection process: -193317901.720770 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -140841767.822989 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -120211526.932631 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -102603165.458962 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -74751541.780893 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -63802074.604341 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -54456465.068636 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -46479783.081690 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -39671510.675510 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -33862848.494547 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -28902681.262379 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -24669070.125309 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -21055590.494282 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -17971406.656631 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -15340051.600886 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -13093069.298061 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -11175220.794820 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -9538295.182740 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -8141143.397834 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -6949125.474655 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -5931230.465700 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -5062434.829469 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -4320898.766425 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -3687981.530351 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -3147991.031510 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -2686879.144713 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -2293310.071735 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1957390.266499 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1670675.371206 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1426056.785219 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1217170.632644 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1038881.736216 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -886708.266613 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -756824.884556 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -646011.355913 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -551384.810845 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -470618.986567 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -401683.590409 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -342845.723206 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -292646.601660 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -249780.270306 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -213192.919652 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -181964.816253 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -155310.947511 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -132570.476787 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -113151.799265 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -96577.533604 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -82431.035632 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -70356.690442 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -60055.135497 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -51258.370652 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -43750.139602 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -37341.700310 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -31871.957317 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -27205.297793 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -23220.316238 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -19819.047389 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -16915.990092 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -14438.167242 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -12324.145502 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -10518.927530 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -8978.134538 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -7663.034045 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -6540.567033 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -5582.903871 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -4765.130468 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -4067.142996 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -3471.395435 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -2962.911871 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -2529.085333 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -2158.629605 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1842.437545 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1572.560711 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1342.214935 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -1145.689191 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -977.870764 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -834.634068 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -712.378418 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -608.030549 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -519.003335 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -442.980690 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -378.093700 --> -322.711236, len_BS = 84
Blocksize strategy selection process: -322.711236 --> -322.711236, len_BS = 84
len(BS) = 84
Time cost for generating Strategy: 217.977855 s
