New Strategy:
n = 80, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -1957390.266499 --> -1957390.266499, len_BS = 1
Blocksize strategy selection process: -1670675.371206 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1217170.632644 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1038881.736216 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -886708.266613 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -756824.884556 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -646011.355913 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -551384.810845 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -470618.986567 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -401683.590409 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -342845.723206 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -292646.601660 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -249780.270306 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -213192.919652 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -181964.816253 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -155310.947511 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -132570.476787 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -113151.799265 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -96577.533604 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -82431.035632 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -70356.690442 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -60055.135497 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -51258.370652 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -43750.139602 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -37341.700310 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -31871.957317 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -27205.297793 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -23220.316238 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -19819.047389 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -16915.990092 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -14438.167242 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -12324.145502 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -10518.927530 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -8978.134538 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -7663.034045 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -6540.567033 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -5582.903871 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -4765.130468 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -4067.142996 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -3471.395435 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -2962.911871 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -2529.085333 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -2158.629605 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1842.437545 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1572.560711 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1342.214935 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -1145.689191 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -977.870764 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -834.634068 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -712.378418 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -608.030549 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -519.003335 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -442.980690 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -378.093700 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -322.711236 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -275.441093 --> -46.330810, len_BS = 78
Blocksize strategy selection process: -235.111289 --> -46.330810, len_BS = 78
