Start Pump Cost Test Experiment, test 2 times for each blocksizes
1. fixed beta = 80, threads = 32, gpus = 2 

Starting a pnjBKZ-80 tour for dim=180. 
Intial Slope = -0.08747
k:0, b:63, f:0  , RAM cost: 1.6750 GB, Pump Cost: 9.2995 s 
k:0, b:64, f:1  , RAM cost: 1.6774 GB, Pump Cost: 7.3502 s 
k:0, b:65, f:2  , RAM cost: 1.6818 GB, Pump Cost: 7.2711 s 
k:0, b:66, f:3  , RAM cost: 1.6863 GB, Pump Cost: 6.6472 s 
k:0, b:67, f:4  , RAM cost: 1.6903 GB, Pump Cost: 7.1412 s 
k:0, b:68, f:5  , RAM cost: 1.6945 GB, Pump Cost: 6.9088 s 
k:0, b:69, f:6  , RAM cost: 1.6968 GB, Pump Cost: 7.1331 s 
k:0, b:70, f:7  , RAM cost: 1.6968 GB, Pump Cost: 7.0656 s 
k:0, b:71, f:8  , RAM cost: 1.6969 GB, Pump Cost: 7.6656 s 
k:0, b:72, f:9  , RAM cost: 1.6989 GB, Pump Cost: 7.6876 s 
k:0, b:73, f:10  , RAM cost: 1.6991 GB, Pump Cost: 7.8985 s 
k:0, b:74, f:11  , RAM cost: 1.7032 GB, Pump Cost: 7.5070 s 
k:0, b:75, f:12  , RAM cost: 1.7053 GB, Pump Cost: 8.1465 s 
k:0, b:76, f:13  , RAM cost: 1.7053 GB, Pump Cost: 7.7105 s 
k:0, b:77, f:14  , RAM cost: 1.7076 GB, Pump Cost: 7.8920 s 
k:0, b:78, f:15  , RAM cost: 1.7096 GB, Pump Cost: 8.4103 s 
k:0, b:79, f:16  , RAM cost: 1.7098 GB, Pump Cost: 8.3717 s 
k:0, b:80, f:17  , RAM cost: 1.7119 GB, Pump Cost: 8.5005 s 
k:0, b:81, f:18  , RAM cost: 1.7138 GB, Pump Cost: 8.7369 s 
k:0, b:82, f:19  , RAM cost: 1.7161 GB, Pump Cost: 9.0041 s 
k:0, b:83, f:20  , RAM cost: 1.7180 GB, Pump Cost: 9.0644 s 
k:0, b:84, f:21  , RAM cost: 1.7200 GB, Pump Cost: 9.2482 s 
k:0, b:85, f:22  , RAM cost: 1.7203 GB, Pump Cost: 8.9649 s 
k:0, b:86, f:23  , RAM cost: 1.7241 GB, Pump Cost: 9.8059 s 
k:0, b:87, f:24  , RAM cost: 1.7242 GB, Pump Cost: 10.0462 s 
k:0, b:88, f:25  , RAM cost: 1.7242 GB, Pump Cost: 9.6987 s 
k:0, b:89, f:26  , RAM cost: 1.7262 GB, Pump Cost: 10.3355 s 
k:0, b:90, f:27  , RAM cost: 1.7266 GB, Pump Cost: 10.4869 s 
k:0, b:91, f:28  , RAM cost: 1.7264 GB, Pump Cost: 11.0910 s 
k:0, b:92, f:29  , RAM cost: 1.7266 GB, Pump Cost: 11.7019 s 
k:1, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 10.6656 s 
k:2, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 11.5955 s 
k:3, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 11.1544 s 
k:4, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 11.0191 s 
k:5, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 11.8269 s 
k:6, b:92, f:29  , RAM cost: 1.7265 GB, Pump Cost: 12.1581 s 
k:7, b:92, f:29  , RAM cost: 1.7285 GB, Pump Cost: 13.0231 s 
k:8, b:92, f:29  , RAM cost: 1.7290 GB, Pump Cost: 12.5810 s 
k:9, b:92, f:29  , RAM cost: 1.7289 GB, Pump Cost: 11.8346 s 
k:10, b:92, f:29  , RAM cost: 1.7291 GB, Pump Cost: 13.0906 s 
k:11, b:92, f:29  , RAM cost: 1.7289 GB, Pump Cost: 13.4373 s 
k:12, b:92, f:29  , RAM cost: 1.7288 GB, Pump Cost: 13.4230 s 
k:13, b:92, f:29  , RAM cost: 1.7289 GB, Pump Cost: 13.2867 s 
k:14, b:92, f:29  , RAM cost: 1.7310 GB, Pump Cost: 13.7467 s 
k:15, b:92, f:29  , RAM cost: 1.7310 GB, Pump Cost: 14.3497 s 
k:16, b:92, f:29  , RAM cost: 1.7312 GB, Pump Cost: 13.5231 s 
k:17, b:92, f:29  , RAM cost: 1.7312 GB, Pump Cost: 13.9466 s 
k:18, b:92, f:29  , RAM cost: 1.7313 GB, Pump Cost: 14.7745 s 
k:19, b:92, f:29  , RAM cost: 1.7314 GB, Pump Cost: 14.5130 s 
k:20, b:92, f:29  , RAM cost: 1.7312 GB, Pump Cost: 14.0705 s 
k:21, b:92, f:29  , RAM cost: 1.7311 GB, Pump Cost: 12.5887 s 
k:22, b:92, f:29  , RAM cost: 1.7311 GB, Pump Cost: 15.1018 s 
k:23, b:92, f:29  , RAM cost: 1.7311 GB, Pump Cost: 15.3121 s 
k:24, b:92, f:29  , RAM cost: 1.7311 GB, Pump Cost: 14.8841 s 
k:25, b:92, f:29  , RAM cost: 1.7313 GB, Pump Cost: 15.6682 s 
k:26, b:92, f:29  , RAM cost: 1.7313 GB, Pump Cost: 15.9752 s 
k:27, b:92, f:29  , RAM cost: 1.7314 GB, Pump Cost: 15.5309 s 
k:28, b:92, f:29  , RAM cost: 1.7331 GB, Pump Cost: 14.9313 s 
k:29, b:92, f:29  , RAM cost: 1.7332 GB, Pump Cost: 15.9610 s 
k:30, b:92, f:29  , RAM cost: 1.7333 GB, Pump Cost: 15.0631 s 
k:31, b:92, f:29  , RAM cost: 1.7332 GB, Pump Cost: 14.9312 s 
k:32, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 17.0804 s 
k:33, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 17.5418 s 
k:34, b:92, f:29  , RAM cost: 1.7332 GB, Pump Cost: 16.0838 s 
k:35, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 16.6470 s 
k:36, b:92, f:29  , RAM cost: 1.7332 GB, Pump Cost: 15.5032 s 
k:37, b:92, f:29  , RAM cost: 1.7332 GB, Pump Cost: 17.1927 s 
k:38, b:92, f:29  , RAM cost: 1.7333 GB, Pump Cost: 16.5251 s 
k:39, b:92, f:29  , RAM cost: 1.7333 GB, Pump Cost: 17.0986 s 
k:40, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 17.4581 s 
k:41, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 16.2935 s 
k:42, b:92, f:29  , RAM cost: 1.7338 GB, Pump Cost: 17.4379 s 
k:43, b:92, f:29  , RAM cost: 1.7337 GB, Pump Cost: 16.9568 s 
k:44, b:92, f:29  , RAM cost: 1.7336 GB, Pump Cost: 18.6984 s 
k:45, b:92, f:29  , RAM cost: 1.7335 GB, Pump Cost: 18.5652 s 
k:46, b:92, f:29  , RAM cost: 1.7335 GB, Pump Cost: 18.4359 s 
k:47, b:92, f:29  , RAM cost: 1.7338 GB, Pump Cost: 19.0352 s 
k:48, b:92, f:29  , RAM cost: 1.7337 GB, Pump Cost: 18.0600 s 
k:49, b:92, f:29  , RAM cost: 1.7354 GB, Pump Cost: 19.7796 s 
k:50, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 22.1436 s 
k:51, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 20.4677 s 
k:52, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 19.1494 s 
k:53, b:92, f:29  , RAM cost: 1.7356 GB, Pump Cost: 19.6136 s 
k:54, b:92, f:29  , RAM cost: 1.7355 GB, Pump Cost: 19.9114 s 
k:55, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 19.7094 s 
k:56, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 20.6574 s 
k:57, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 20.8091 s 
k:58, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 19.8074 s 
k:59, b:92, f:29  , RAM cost: 1.7355 GB, Pump Cost: 18.3724 s 
k:60, b:92, f:29  , RAM cost: 1.7356 GB, Pump Cost: 21.1591 s 
k:61, b:92, f:29  , RAM cost: 1.7356 GB, Pump Cost: 20.8665 s 
k:62, b:92, f:29  , RAM cost: 1.7356 GB, Pump Cost: 21.9503 s 
k:63, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 20.3293 s 
k:64, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 21.7993 s 
k:65, b:92, f:29  , RAM cost: 1.7360 GB, Pump Cost: 22.9621 s 
k:66, b:92, f:29  , RAM cost: 1.7360 GB, Pump Cost: 21.9866 s 
k:67, b:92, f:29  , RAM cost: 1.7360 GB, Pump Cost: 20.6975 s 
k:68, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 23.2524 s 
k:69, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 25.3686 s 
k:70, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 23.1193 s 
k:71, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 23.0833 s 
k:72, b:92, f:29  , RAM cost: 1.7360 GB, Pump Cost: 24.2789 s 
k:73, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 22.9862 s 
k:74, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 25.6298 s 
k:75, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 22.0051 s 
k:76, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 24.1823 s 
k:77, b:92, f:29  , RAM cost: 1.7361 GB, Pump Cost: 26.0087 s 
k:78, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 26.5773 s 
k:79, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 25.6787 s 
k:80, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 26.0132 s 
k:81, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 26.0007 s 
