New Strategy:
n = 80, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -1957390.266499 --> -1957390.266499, len_BS = 1
Blocksize strategy selection process: -1670675.371206 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -1426056.785219 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -1217170.632644 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -1038881.736216 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -886708.266613 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -756824.884556 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -646011.355913 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -551384.810845 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -470618.986567 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -401683.590409 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -342845.723206 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -292646.601660 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -249780.270306 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -213192.919652 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -181964.816253 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -155310.947511 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -132570.476787 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -113151.799265 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -96577.533604 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -82431.035632 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -70356.690442 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -60055.135497 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -51258.370652 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -43750.139602 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -37341.700310 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -31871.957317 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -27205.297793 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -23220.316238 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -19819.047389 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -16915.990092 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -14438.167242 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -12324.145502 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -10518.927530 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -8978.134538 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -7663.034045 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -6540.567033 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -5582.903871 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -4765.130468 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -4067.142996 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -3471.395435 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -2962.911871 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -2529.085333 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -2158.629605 --> -44.320431, len_BS = 80
Blocksize strategy selection process: -1842.437545 --> -44.320431, len_BS = 80
