New Strategy:
n = 90, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -97473046.470189 --> -97473046.470189, len_BS = 1
Blocksize strategy selection process: -83287693.241227 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -71171682.207851 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -37942200.076938 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -32422679.762798 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -27704173.655518 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -23673997.520028 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -20228696.184690 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -17284793.114738 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -10784829.253516 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -9215301.901952 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -7874189.488577 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -6728716.934232 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -5749479.802058 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -4913092.599975 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -4198085.154316 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -3587133.481461 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -3065306.700718 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -2619209.447381 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -2238188.322552 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1912462.461936 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1634139.822580 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1396418.553687 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1193196.317829 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1019619.896281 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -871233.558603 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -744442.038062 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -636146.711396 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -543567.622782 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -464493.859796 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -396895.588146 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -339134.962857 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -289800.387821 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -247625.437761 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -211602.918475 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -180808.126976 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -154494.933322 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -132020.276576 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -112807.229232 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -96396.958028 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -82368.209063 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -70381.078438 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -60142.615951 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -51389.998871 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -43914.202999 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -37523.323634 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -32062.515551 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -27398.323555 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -23411.017201 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -20005.374282 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -17093.971480 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -14606.268137 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -12481.467953 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -10665.027018 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -9113.566292 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -7787.259567 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -6653.971631 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -5686.006370 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -4858.515985 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -4151.738897 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -3547.532043 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -3031.256037 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -2590.293751 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -2213.325623 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1891.349151 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1616.099153 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1380.906573 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1180.023602 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -1008.293547 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -861.615265 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -736.223505 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -629.080137 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -537.566714 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -459.334075 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -392.513918 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -335.390962 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -286.581168 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -244.891688 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -209.252348 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -178.812031 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -152.789331 --> -130.553742, len_BS = 82
Blocksize strategy selection process: -130.553742 --> -130.553742, len_BS = 82
len(BS) = 82
Time cost for generating Strategy: 188.872715 s
