New Strategy:
n = 90, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -97473046.470189 --> -97473046.470189, len_BS = 1
Blocksize strategy selection process: -83287693.241227 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -71171682.207851 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -37942200.076938 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -32422679.762798 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -27704173.655518 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -23673997.520028 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -20228696.184690 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -10784829.253516 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -9215301.901952 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -7874189.488577 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -6728716.934232 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -5749479.802058 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -4913092.599975 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -4198085.154316 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -3587133.481461 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -3065306.700718 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -2619209.447381 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -2238188.322552 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -1912462.461936 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -1634139.822580 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -1396418.553687 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -1193196.317829 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -1019619.896281 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -871233.558603 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -744442.038062 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -636146.711396 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -543567.622782 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -464493.859796 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -396895.588146 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -339134.962857 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -289800.387821 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -247625.437761 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -211602.918475 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -180808.126976 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -154494.933322 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -132020.276576 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -112807.229232 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -96396.958028 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -82368.209063 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -70381.078438 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -60142.615951 --> -81.030885, len_BS = 84
Blocksize strategy selection process: -51389.998871 --> -81.030885, len_BS = 84
